logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000141433	-1.41030780834097	1.96999404697641	-7.0244181620943	1.47906264293374e-10	2.06965235625718e-06	13.5249905061632
ENSG00000152931	-1.13427831615655	3.04052327542764	-6.74597444637338	5.96791749747916e-10	3.01679441974822e-06	12.3302111636552
ENSG00000174446	-0.462277566290599	4.00503418597243	-6.68976233893544	7.88758790527739e-10	3.01679441974822e-06	12.1050636947182
ENSG00000180357	0.407256300510076	5.21333869486496	6.67173748333013	8.62372449009712e-10	3.01679441974822e-06	12.0332431953587
ENSG00000111181	1.09000343123533	5.3746002128402	6.48817530108547	2.12726215825799e-09	5.95335587610081e-06	11.1753787401722
ENSG00000143106	-0.299942533827239	4.85744423304901	-6.43467034561655	2.76206966362575e-09	6.44160680051918e-06	10.9285338353403
ENSG00000197256	0.803515265970985	4.91531591861782	6.37961133250405	3.61003978506946e-09	7.21646953035386e-06	10.6724041653007
ENSG00000166669	-0.740278634554921	3.14223769301699	-6.35148662537395	4.1374870856289e-09	7.23698209865065e-06	10.5113778569664
ENSG00000204954	-0.346287445848845	2.9709348000053	-6.31094569814105	5.0338583807586e-09	7.82653114688391e-06	10.3075293263183
ENSG00000009954	0.363370912810389	6.14845481176043	6.27740635984415	5.91794551244207e-09	8.28098115556019e-06	10.2030770073334
ENSG00000011295	-0.367474597898543	5.48690981083736	-6.22014156468013	7.79388962903757e-09	9.91453614355661e-06	9.9444298995141
ENSG00000136732	0.679909067318006	2.68175456547003	6.18156340639513	9.3762744890385e-09	1.09335174104263e-05	9.66388799191296
ENSG00000184677	0.473737088712353	4.63311621947963	6.1303847924864	1.19720042391363e-08	1.19290486285091e-05	9.5373345512938
ENSG00000124785	-0.909969815563086	6.03114188153134	-6.12987601016829	1.20010686754073e-08	1.19290486285091e-05	9.53019546719153
ENSG00000070785	-0.418241546517946	3.41511465513333	-6.11567258657464	1.28410645799129e-08	1.19290486285091e-05	9.45537929825747
ENSG00000105323	0.269844380275282	6.49972564783136	6.09023336957517	1.44925195944154e-08	1.19290486285091e-05	9.35347283296533
ENSG00000180044	-1.10460344979622	2.96286567080353	-6.09377976864631	1.42503420272587e-08	1.19290486285091e-05	9.34838327796989
ENSG00000005469	-0.457442065252704	3.09680958958013	-6.05991796433132	1.67348655195155e-08	1.30094985119211e-05	9.19505788236226
ENSG00000171792	-0.370299162211088	3.29051202481296	-6.0295464746994	1.93226451047069e-08	1.38657951566956e-05	9.067234750965
ENSG00000114902	-0.43696763073499	5.42612739967567	-6.00628003688021	2.15675428315696e-08	1.38657951566956e-05	8.98154096155313
ENSG00000131966	-0.505545807619353	5.36414877510558	-6.00601671498738	2.15943630247469e-08	1.38657951566956e-05	8.98037310134457
ENSG00000111218	-1.13849480825793	2.71707015312457	-6.00164914894249	2.20440250404589e-08	1.38657951566956e-05	8.93067105695064
ENSG00000168010	0.425392006559323	4.63470407487447	5.99458454779478	2.27909160726076e-08	1.38657951566956e-05	8.92898590568072
ENSG00000103591	-0.479532607099067	4.62672070473436	-5.97322886459413	2.5203201751571e-08	1.46945167545722e-05	8.83444452350105
ENSG00000171314	-0.420398580822714	7.44512210885748	-5.964025582218	2.63185717820247e-08	1.47310309978348e-05	8.77435790613944
ENSG00000216863	-1.14386421044474	2.18340415072032	-5.95476382364555	2.74899611650282e-08	1.47948856377785e-05	8.6937716786231
ENSG00000157933	0.361259394139338	6.12007343394041	5.93572214990271	3.00614956541533e-08	1.49225814661217e-05	8.66711435413282
ENSG00000157657	0.553727103484897	2.93461946586683	5.93854739384098	2.96655365730571e-08	1.49225814661217e-05	8.62669978954285
ENSG00000115282	0.390336140360148	3.62380347724044	5.92676623170513	3.13512981105349e-08	1.49225814661217e-05	8.61411224091462
ENSG00000132819	0.559528570783259	3.47194891198593	5.89543499904533	3.63058371597607e-08	1.62454242511805e-05	8.46931433120116
ENSG00000072501	0.540350843512498	5.43566487215706	5.89051366770063	3.71509737753001e-08	1.62454242511805e-05	8.46758498126438
ENSG00000137809	0.864763031156497	1.90969800684082	5.92244475013798	3.19929567629279e-08	1.49225814661217e-05	8.44400920107616
ENSG00000138036	-0.602442186634902	4.18296852478073	-5.87072960240509	4.0747774835896e-08	1.67701062729027e-05	8.37975938848622
ENSG00000042062	1.35819223311172	3.04067630930966	5.87501474539505	3.99408040983229e-08	1.67701062729027e-05	8.33086519422275
ENSG00000183963	0.87445240784646	4.82454126425715	5.83201791325606	4.88021611106651e-08	1.90025443844734e-05	8.20968660914919
ENSG00000125733	0.802770226690967	3.89392872519997	5.82941821760622	4.93958404225742e-08	1.90025443844734e-05	8.18988607412673
ENSG00000165678	-0.473764008093245	7.35942295335231	-5.82306323612273	5.08770994663015e-08	1.90025443844734e-05	8.15861725270853
ENSG00000122873	-0.628934379746083	4.61167213868186	-5.820010204374	5.16041368262695e-08	1.90025443844734e-05	8.15699123703071
ENSG00000232859	-0.794792745345976	4.44386989087357	-5.81126586750311	5.37433708480807e-08	1.92828458532614e-05	8.11866163203281
ENSG00000105643	0.79413095135475	5.63038451511303	5.79751089549323	5.72857267493389e-08	2.00399793600875e-05	8.05817653062474
ENSG00000106078	0.609625922151922	7.32170586210459	5.78861107151376	5.96987569775134e-08	2.03747489362523e-05	8.01487853312323
ENSG00000178234	-0.449716914445433	5.24707666596394	-5.75772576343488	6.88717754344349e-08	2.1961270469454e-05	7.8842863877648
ENSG00000164600	-1.31876033635344	3.09359539676692	-5.75747266293787	6.89523837425311e-08	2.1961270469454e-05	7.87732820854426
ENSG00000166889	0.353941771434913	4.46254175683509	5.75342035837878	7.02556478987078e-08	2.1961270469454e-05	7.86581635364963
ENSG00000130309	0.6044683981926	5.11494052181494	5.75228497956568	7.06251104927772e-08	2.1961270469454e-05	7.86036318451841
ENSG00000196739	0.664827112865937	4.08313598127084	5.73660871294347	7.59253470290108e-08	2.30961604560206e-05	7.79075016483581
ENSG00000166716	0.403426574864334	5.15545859563475	5.71649060628374	8.33019287210962e-08	2.48009337998787e-05	7.70423410873694
ENSG00000132305	-0.318213657047657	5.30050746610345	-5.71061453649929	8.55860255806986e-08	2.49501094989732e-05	7.67902253949846
ENSG00000146147	-0.993964791403821	2.37334359103196	-5.69223977076532	9.31319485786977e-08	2.65958236012595e-05	7.56918757026929
ENSG00000176396	-0.591481941083442	3.77411625108023	-5.68406555859249	9.66949106768137e-08	2.70610377020131e-05	7.56445001490805
ENSG00000187446	-0.373252410875169	5.65128159746525	-5.66374708995077	1.06140198071474e-07	2.91219566983164e-05	7.47646636928014
ENSG00000182220	-0.463715344667398	6.77423144686035	-5.6494510067409	1.13321921381715e-07	3.04944931902758e-05	7.41395609890552
ENSG00000184515	-0.959235490816564	4.52709310539848	-5.6257674222895	1.26280624758562e-07	3.21881607508047e-05	7.31231544594527
ENSG00000166508	0.769070455109824	5.65983170283776	5.62410784148377	1.27241237527278e-07	3.21881607508047e-05	7.30435394384972
ENSG00000172031	-0.866238344660783	2.45161596715841	-5.6278098503025	1.25108157260943e-07	3.21881607508047e-05	7.29807076115884
ENSG00000128578	-0.598018811794208	3.16738778925248	-5.62141182256056	1.28817051528983e-07	3.21881607508047e-05	7.28979104248469
ENSG00000271614	-0.79799449984201	2.96718264707784	-5.59736580420293	1.43744291469164e-07	3.44221819282745e-05	7.18466614558955
ENSG00000087116	0.838161489615316	1.70799609480827	5.6170647214058	1.31398269344333e-07	3.22571225076359e-05	7.14407930538978
ENSG00000118007	0.49101376113979	4.29388985870033	5.58398813792009	1.52769039182937e-07	3.44221819282745e-05	7.13433169447889
ENSG00000275851	0.480103325632812	6.40100135626691	5.58132042832141	1.54633947718887e-07	3.44221819282745e-05	7.12255948362718
ENSG00000275023	0.48001529174591	6.40098342996738	5.58016876193976	1.55445912422821e-07	3.44221819282745e-05	7.11762883086053
ENSG00000197885	-0.553844228344876	4.68575026316391	-5.57514868979853	1.59034268801467e-07	3.44221819282745e-05	7.0942381778713
ENSG00000164332	-0.530759890797251	4.66497129825168	-5.57320422297001	1.60445862138737e-07	3.44221819282745e-05	7.08593891460993
ENSG00000176401	-0.655680676847641	2.98701492176322	-5.57122097436755	1.6189824518825e-07	3.44221819282745e-05	7.07294281181577
ENSG00000130638	-0.464458037037239	6.2350944138742	-5.56866170336773	1.63791500338997e-07	3.44221819282745e-05	7.06887491058525
ENSG00000128045	-1.02613468441071	2.75044675161174	-5.57000131029423	1.62797820276771e-07	3.44221819282745e-05	7.06515678010519
ENSG00000070087	-0.650026270033831	7.88484280847	-5.56728733519785	1.64817136367783e-07	3.44221819282745e-05	7.05170389083051
ENSG00000108641	-0.551396163737238	2.87483180673725	-5.55923562308928	1.70953350373145e-07	3.5058047505857e-05	7.01909278073752
ENSG00000181061	-0.392806607636903	7.01180413247515	-5.55677536767963	1.72872527542638e-07	3.5058047505857e-05	7.01712690026693
ENSG00000146966	0.583797281922537	4.82606320201023	5.55009177117993	1.781933283582e-07	3.51695542449024e-05	6.98752601633961
ENSG00000127946	0.761840158511879	6.14301440549551	5.54977542346364	1.78449106795402e-07	3.51695542449024e-05	6.98650171647179
ENSG00000116478	0.474860457138061	5.00030762603702	5.5415153640211	1.85256335982634e-07	3.58338485991087e-05	6.95001653895998
ENSG00000186665	-0.455675103865082	3.09369900485762	-5.53486290717492	1.90922925926873e-07	3.58338485991087e-05	6.92020222393752
ENSG00000071246	0.509126508857972	5.71489896200917	5.53191501878088	1.93487868338621e-07	3.58338485991087e-05	6.90905898035686
ENSG00000103021	-0.446142324980182	3.47632231525257	-5.52994131138874	1.95223998649943e-07	3.58338485991087e-05	6.90355229177484
ENSG00000003147	-0.85762774202208	3.99552505593045	-5.52616234174331	1.98590735122642e-07	3.58338485991087e-05	6.88700537604847
ENSG00000100906	0.571169504786471	5.84080316893757	5.52563049840187	1.99069100087576e-07	3.58338485991087e-05	6.88259413018859
ENSG00000184481	0.886895332635416	6.31888977104084	5.52488050026904	1.99745600709675e-07	3.58338485991087e-05	6.88075689580656
ENSG00000117069	-1.08031264426287	3.74354918780647	-5.5214553188993	2.0286383418818e-07	3.59325776176607e-05	6.86769362118636
ENSG00000143157	0.518535137519717	6.31488068165092	5.50586568105894	2.17668772931683e-07	3.72346308036598e-05	6.80033767796333
ENSG00000145882	-0.823033817361371	3.63856597689517	-5.50456459461688	2.18951112764724e-07	3.72346308036598e-05	6.79636139085561
ENSG00000013392	-0.424288983464599	3.68687334233992	-5.50264295337403	2.208585976348e-07	3.72346308036598e-05	6.78828919427165
ENSG00000109320	0.574155968189468	3.76000229590539	5.49714868865452	2.26402537552897e-07	3.77148893806867e-05	6.76398088596506
ENSG00000154518	-0.443167312068439	6.11185219479794	-5.49227638352944	2.3143263980907e-07	3.78257387066969e-05	6.74353564735279
ENSG00000170275	0.61718290147832	7.0123863240767	5.49128031568559	2.32474346371467e-07	3.78257387066969e-05	6.74017544167471
ENSG00000176840	-0.759638638959764	1.71351973493192	-5.50317903929919	2.20324831726843e-07	3.72346308036598e-05	6.73095635047153
ENSG00000183527	-0.592247165509085	3.20064742271884	-5.48455147697207	2.39632641871735e-07	3.85422937667953e-05	6.71005590026982
ENSG00000114853	0.613512906192576	5.9444255990287	5.4818901354216	2.42522958617152e-07	3.85639063628387e-05	6.69677486824636
ENSG00000185414	-0.401521346335946	3.90136043815219	-5.47205752500224	2.53500286789106e-07	3.91860858040887e-05	6.6583351060909
ENSG00000011304	0.488645135995899	5.29673893299316	5.47092301979497	2.54797724907281e-07	3.91860858040887e-05	6.64879657093995
ENSG00000173039	0.603136520431981	5.26220121165472	5.47088878581324	2.54836976214684e-07	3.91860858040887e-05	6.64877227888992
ENSG00000125386	0.249836985176624	4.65538069916219	5.46612716414992	2.60354473349216e-07	3.95993494084302e-05	6.63014288144468
ENSG00000149782	0.585187162627284	3.76173319147077	5.45210626945583	2.772884397853e-07	4.17214746012441e-05	6.57439624469695
ENSG00000106665	0.527168405349361	7.08110240196874	5.43389950779238	3.00892912524765e-07	4.47914311165856e-05	6.49830819022519
ENSG00000187325	-0.310268546668739	4.83914850033499	-5.42937097495127	3.07062578912327e-07	4.52287017549494e-05	6.47344250078923
ENSG00000180287	0.54491954267894	3.11429047464912	5.40403253876523	3.4393411980405e-07	5.01319806085215e-05	6.36289631957349
ENSG00000140807	0.732634996262782	4.48194685046476	5.39705322313828	3.54828404888011e-07	5.07482885516658e-05	6.34166428411916
ENSG00000168264	0.496116661535392	6.60072359793593	5.39668293560637	3.55415727725524e-07	5.07482885516658e-05	6.34050078347483
ENSG00000109832	-0.591314235546922	4.33890354526753	-5.38821808712833	3.69104165421347e-07	5.21001366643202e-05	6.3020317158564
ENSG00000144655	0.595006138856068	4.0828901271853	5.38486520834222	3.74667372448535e-07	5.21001366643202e-05	6.2926183346956
ENSG00000167699	-0.338613876163974	5.05573651983901	-5.38343729236631	3.77061420556371e-07	5.21001366643202e-05	6.27970958192954
ENSG00000283017	0.367123150214393	3.92773922807296	5.38015835018748	3.82615622269537e-07	5.21001366643202e-05	6.27312704655547
ENSG00000131100	-0.519990833872288	6.93768569866922	-5.37747335816081	3.8722319824836e-07	5.21001366643202e-05	6.26228358575671
