logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000177409	2.02116900774272	2.29093070698782	8.44987759949066	4.19587648062303e-10	4.92218269941888e-06	12.6039173039115
ENSG00000163840	1.20648478843446	5.15027065873085	8.13351662000757	1.05272423097947e-09	5.10187605315688e-06	12.0342510394594
ENSG00000134070	1.65484045497811	4.85708151095959	8.06027703588004	1.30471640605836e-09	5.10187605315688e-06	11.8020414744112
ENSG00000185022	1.10778016956346	3.99688109499145	7.6974082461556	3.8113928199028e-09	8.06261158192189e-06	10.7616568594475
ENSG00000136048	0.839495097215196	5.37439055193276	7.65376540457398	4.33999464375568e-09	8.06261158192189e-06	10.7101573342411
ENSG00000137628	1.93682401901064	3.29538524437361	7.67673544521859	4.05313699186053e-09	8.06261158192189e-06	10.6749276234769
ENSG00000138496	1.31469965605066	4.88080641500416	7.6191878653303	4.81103751372033e-09	8.06261158192189e-06	10.6023338831243
ENSG00000059378	1.0079739368891	4.6574824307561	7.34355700422561	1.09849461650088e-08	1.61080504327148e-05	9.81715409149821
ENSG00000172331	0.684379378571037	4.77356887317001	7.15237702171302	1.95576195410401e-08	2.31490748800397e-05	9.28193622376923
ENSG00000157601	2.68647406526628	3.08786274083695	7.14942244196893	1.97332494075865e-08	2.31490748800397e-05	9.19389087785857
ENSG00000112096	1.47877470810037	7.50893119902826	7.03652543216893	2.77840736265364e-08	2.50719205932999e-05	8.96388260119598
ENSG00000115267	2.00196413779291	3.34364532444683	7.05294592000293	2.64334840361318e-08	2.50719205932999e-05	8.9364852825182
ENSG00000166920	1.85398620263199	5.79383547142108	7.00542225076484	3.05361719094972e-08	2.55871309050222e-05	8.87692095742508
ENSG00000140379	2.1399192014129	1.91433550752817	7.06473245365898	2.5505048724896e-08	2.50719205932999e-05	8.87119702698582
ENSG00000138642	1.10070945606441	3.66487459466988	6.85812408745682	4.78097317593103e-08	3.73903975512313e-05	8.40601182896201
ENSG00000104368	1.31209598128298	3.68843525220824	6.79532052642256	5.79088334360166e-08	4.08726808307616e-05	8.21575160428117
ENSG00000167034	1.05232283387864	2.81735850113728	6.78792991450596	5.92307198127139e-08	4.08726808307616e-05	8.14406597277128
ENSG00000145901	0.846575367513241	7.71918579274185	6.72706834291818	7.13395136841943e-08	4.64935463905157e-05	8.07713392807942
ENSG00000023445	1.25627986494821	5.19349001554481	6.66083605264232	8.73703234558711e-08	5.39442770768854e-05	7.88033466542092
ENSG00000121060	0.794337024861243	6.61814183164899	6.63329419099254	9.50621484279542e-08	5.57587031604165e-05	7.81025687582043
ENSG00000100311	1.60337708046489	3.8134827689836	6.37595296893967	2.09561541088557e-07	0.00011706506850047	7.03241210171863
ENSG00000213928	1.33728399887219	4.82285276477101	6.35687537645358	2.22239530913493e-07	0.000118504178961191	7.00013361167101
ENSG00000173193	1.12594646273156	5.78048116848926	6.33404575107151	2.38428207085357e-07	0.000121608752057318	6.93922736296222
ENSG00000069424	-0.649171857652314	3.33818282227728	-6.23005740992802	3.28528024809808e-07	0.000160581760793494	6.5971804162532
ENSG00000115919	0.79254475474475	7.49284569614566	6.18780610565793	3.74273498191812e-07	0.000175624096291526	6.51071603625221
ENSG00000134954	1.20839132116867	5.47837488641435	6.1416912866859	4.31532695304997e-07	0.000194704232639343	6.37651209183681
ENSG00000188313	1.04795944771613	5.87928915353129	6.06883325049721	5.40444094908581e-07	0.000234672671225053	6.16298570076737
ENSG00000163814	1.18915317954445	6.04030767647691	6.05521784225074	5.6366704880973e-07	0.000234672671225053	6.12409144113876
ENSG00000226950	-0.767987987825106	4.28815733541762	-6.03877561347877	5.93049379553677e-07	0.000234672671225053	6.05724548710943
ENSG00000117226	1.02930693225408	3.85494704060339	6.03329634268779	6.03178140719587e-07	0.000234672671225053	6.0418885874024
ENSG00000171604	-0.945064444849766	4.58879861919426	-6.02432439213912	6.20139187450058e-07	0.000234672671225053	6.02362787762891
ENSG00000176907	1.79224617752494	5.3801733455672	6.00943744612433	6.49343652056027e-07	0.000238045324445914	5.97869225220962
ENSG00000147454	1.01476416715641	6.63097114453782	5.97727276949811	7.17236207919956e-07	0.000251300333755662	5.89639886536956
ENSG00000166401	0.599588626238868	4.21908182848826	5.97230225959669	7.28344672039255e-07	0.000251300333755662	5.87227945235854
ENSG00000110911	0.550298014903871	5.52518413043084	5.94984880042299	7.80713232102756e-07	0.000261672769308498	5.81594915646351
ENSG00000076864	-1.00833858003367	4.63857204547272	-5.93540323343042	8.16382634096365e-07	0.000262169387244271	5.76579368540108
ENSG00000128342	0.845236464178588	6.59614646993114	5.93126763660841	8.26891767797972e-07	0.000262169387244271	5.76159105156807
ENSG00000090339	2.75862666729177	4.84187292931755	5.90766307067125	8.89521480109785e-07	0.00027353606575414	5.68919376401354
ENSG00000118503	2.01493704739094	5.30231849715315	5.90029998740198	9.10013705254523e-07	0.00027353606575414	5.67051511363808
ENSG00000172432	0.654608915916435	5.84082563244326	5.89234157572256	9.32694794149313e-07	0.00027353606575414	5.64762588990058
ENSG00000137285	0.690463136306189	3.00853145312814	5.84854205270963	1.06803996091629e-06	0.000305589677597782	5.49171751394729
ENSG00000065600	0.479302028274592	3.94842017514646	5.83779438712423	1.10415274916507e-06	0.000308400378582273	5.47987391944543
ENSG00000115415	1.14448542954766	7.36855736590142	5.82916635413833	1.1340259336166e-06	0.000309378098308287	5.46274231782596
ENSG00000124882	1.65062141594826	5.10002591375174	5.81904541270849	1.17010068055713e-06	0.000311964797354901	5.43187613504081
ENSG00000141542	-0.76976798747177	3.78310927630024	-5.80961212691257	1.20475773062776e-06	0.000314066954177649	5.38656457047962
ENSG00000139289	0.774251004057941	6.93884433164594	5.76473746150569	1.38422114378346e-06	0.000353006483428779	5.27343896491663
ENSG00000109062	-1.062560163835	6.36827121070604	-5.73665539534829	1.50989117130798e-06	0.000376862411289659	5.19157529705616
ENSG00000143158	-0.688463278837951	5.52926777909546	-5.71834792170907	1.59790019037322e-06	0.000390520148609756	5.13883958934773
ENSG00000164654	0.507276902738343	4.56132566119551	5.70616449450379	1.65929375253232e-06	0.000397248469611359	5.10300895757012
ENSG00000067066	0.866797058462456	5.65505888917891	5.67435511781682	1.83093079829374e-06	0.000429572983895678	5.00888260264597
ENSG00000196116	0.829915802577671	4.60925534716065	5.65383785613755	1.95094057056826e-06	0.000448754584967378	4.95072053486605
ENSG00000134215	-1.01621638723161	4.02223051862285	-5.62944581738685	2.10388332863889e-06	0.000474627987081978	4.87306401680867
ENSG00000123240	0.848382133176166	6.76285537362773	5.61933910108999	2.17071221625017e-06	0.000480464622808128	4.8470638497423
ENSG00000111912	1.22803512684257	5.93104320986847	5.5984362800949	2.31573240619201e-06	0.00049309933964067	4.787238857991
ENSG00000109320	0.863384880981209	5.44769064707261	5.59394501446139	2.34813356399173e-06	0.00049309933964067	4.77401115572162
ENSG00000163235	0.822287146641832	4.98806254406413	5.59315263954278	2.35389677093833e-06	0.00049309933964067	4.77391095976274
ENSG00000119900	1.22780545003008	4.53784382098692	5.5552867939765	2.64642068662338e-06	0.000535261397841016	4.66362743832373
ENSG00000276561	2.22494295608349	2.51375074974576	5.56066757565707	2.60273845146182e-06	0.000535261397841016	4.6612685990862
ENSG00000050344	0.742043916889246	4.70922663449455	5.53327349247826	2.83288323138035e-06	0.000563263613344456	4.59968487473275
ENSG00000136147	0.989674152107425	3.2866998291159	5.52115467949631	2.94107394892551e-06	0.000575028974914086	4.55585754402379
ENSG00000116852	1.18396779231211	2.46198297978465	5.49642008875227	3.17485708500056e-06	0.000610561450231829	4.47667063914157
ENSG00000130066	1.13633578987146	8.83939389348282	5.48852574616499	3.25330685487912e-06	0.000610899053910681	4.46853981963612
ENSG00000185215	1.29367647494172	7.72483584970774	5.48376901962992	3.30150737311073e-06	0.000610899053910681	4.45500640316108
ENSG00000181381	1.44422986961068	4.42337511077162	5.48071399057533	3.33283943826473e-06	0.000610899053910681	4.44661324045162
ENSG00000011422	1.06015077749941	5.48921183784871	5.46121981292937	3.53987445764389e-06	0.000638865650194162	4.38604849951783
ENSG00000123933	-0.627940872236061	5.40053323924273	-5.42404123850644	3.97094115346922e-06	0.000705804707141628	4.28028287902518
ENSG00000130589	1.43576229286711	4.85981080968765	5.41878978209377	4.03590822133602e-06	0.000706645363350639	4.2662723491705
ENSG00000107201	1.2096601770982	4.54437706196849	5.40595670453348	4.19916300294806e-06	0.000724417370405642	4.22854238054711
ENSG00000152778	0.983873782019322	4.23816560629034	5.4011182176459	4.26241006874198e-06	0.000724671485745103	4.21607213541572
ENSG00000140519	1.14957717697203	3.89734647503448	5.39545171282062	4.33768891269398e-06	0.000726934694783045	4.19924692326132
ENSG00000185753	0.510551173431091	4.33242843078275	5.36427033413111	4.77626979149275e-06	0.000789160858084527	4.1093131915634
ENSG00000169429	2.67783343683601	5.99277782237321	5.35683380590345	4.88723278865064e-06	0.000796279553384175	4.08427243085411
ENSG00000145623	0.834711960580256	7.0125192121508	5.34839917698309	5.0162004250414e-06	0.000806096536796722	4.05392700962753
ENSG00000159110	0.589221189044744	4.62051189902571	5.31078011120186	5.6339472577395e-06	0.000893132909196514	3.95194513725345
ENSG00000170604	-0.716008018741005	4.79717134304039	-5.2978022597957	5.86418085690857e-06	0.000905167179373611	3.91581206566877
ENSG00000126561	1.07386262881307	2.41164668716862	5.30110182679278	5.80477156132427e-06	0.000905167179373611	3.9151921143313
ENSG00000145779	0.841916481640621	5.08683136915031	5.28074592394737	6.18107302976358e-06	0.000941690489768267	3.86143752474337
ENSG00000149289	1.25270285719756	3.6977349958803	5.27440418490119	6.30319617648749e-06	0.00094798454290224	3.85043802037831
ENSG00000159399	0.869822857952169	3.49444069509689	5.26935832374059	6.40207793781116e-06	0.000950668054284339	3.83320739725702
ENSG00000171608	0.482352560674729	3.95881573382056	5.24351554226049	6.93323279827138e-06	0.00101667192445652	3.76144612462961
ENSG00000166123	0.652848116928065	4.96367218718811	5.23749607274958	7.06311994595316e-06	0.00102293160599971	3.73668972501532
ENSG00000170852	0.506557736805089	5.31438100457063	5.22888473460885	7.25315419806699e-06	0.00103764331582346	3.70847619837135
ENSG00000025708	0.937440643667771	5.01560044443353	5.19561530208584	8.0363502336452e-06	0.00113583644085412	3.61493059125699
ENSG00000169903	-2.06860084541256	2.73416010422745	-5.16099467140946	8.94072953720699e-06	0.00124861545477351	3.52408727659083
ENSG00000156587	0.840951094264851	5.07341540728125	5.14529237735819	9.38359910501138e-06	0.00127998838489405	3.46481161992605
ENSG00000021355	0.55952620218185	6.83568476961281	5.14708528009308	9.33194892614951e-06	0.00127998838489405	3.46436300106989
ENSG00000196544	-0.747086410354916	3.47303682875293	-5.13294602742796	9.74707251093522e-06	0.00129935122302024	3.4416835816812
ENSG00000153879	0.774416216618894	5.98078447482868	5.13421827074214	9.70898040191013e-06	0.00129935122302024	3.43166244207538
ENSG00000101417	-0.604815905245978	3.57591777171996	-5.1148797871437	1.03042963755455e-05	0.00135819888518567	3.3919958083564
ENSG00000119917	1.72592089326208	3.40061034173507	5.08664300078942	1.12392491330262e-05	0.00145601776981287	3.31075887573447
ENSG00000110917	-0.499677873591386	7.86847110472222	-5.08504368064003	1.12946566407783e-05	0.00145601776981287	3.28627983931226
ENSG00000163659	1.53728021410277	5.68626285530508	5.07732269017644	1.15659857126787e-05	0.00147478889560255	3.26690263617522
ENSG00000176915	0.488419849944166	6.94604873701193	5.07269636376297	1.17316540863869e-05	0.00147982832352048	3.24799965335528
ENSG00000221963	1.04614370140149	4.06839471281372	5.06597583975952	1.19765220764914e-05	0.00149464447318426	3.2460929735774
ENSG00000057657	1.19648374357188	2.58808046409944	5.051820612622	1.2509005219502e-05	0.00154466463399976	3.2085257667517
ENSG00000117228	1.69331490204474	2.62257199192678	5.04238192146099	1.28770595053465e-05	0.00154467195458592	3.18445682912738
ENSG00000020577	0.967947772471275	4.45025037345447	5.04014054657408	1.29660278725082e-05	0.00154467195458592	3.16979805815373
ENSG00000176410	-0.631321728691282	3.48562431617206	-5.03247285741085	1.32750257436169e-05	0.00154467195458592	3.15652675278083
ENSG00000027697	0.778957528298328	5.71656730016366	5.03629159973939	1.31202324558245e-05	0.00154467195458592	3.14539054773495
ENSG00000121895	0.931514927948077	4.66137491159201	5.03188265974432	1.32991106822247e-05	0.00154467195458592	3.14420904271513
ENSG00000106070	1.02346762120805	5.87981156314971	5.03369117473646	1.32254451773555e-05	0.00154467195458592	3.13928068111651
