logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000149591	1.30319718839058	3.15116868942348	9.70969899238644	4.28537369092723e-08	0.000556627188714538	8.20996337269126
ENSG00000118523	0.978915854601449	4.13882690023304	9.05488187205267	1.10939902663572e-07	0.000720499197848569	7.75304350279208
ENSG00000168672	0.680237830186862	4.42292638851904	8.27196963734099	3.69037121813154e-07	0.00156513213103524	6.7518648133318
ENSG00000112655	0.569400100299713	5.1206790481683	8.10433099088882	4.81986952355143e-07	0.00156513213103524	6.56402471965912
ENSG00000167978	0.362130019590478	8.56180543047641	7.94408425062138	6.24194847435827e-07	0.00162153337466879	6.37589061720715
ENSG00000072778	0.626395562776889	5.89954993632008	7.70182804830529	9.28479987830974e-07	0.00171117759425716	5.98008609468026
ENSG00000125844	0.733536912965357	4.83293338573912	7.62215572330532	1.05976235725009e-06	0.00171117759425716	5.79683052518414
ENSG00000153721	0.661565547133557	3.29529603723299	7.59633135917993	1.10637545967381e-06	0.00171117759425716	5.72926297798366
ENSG00000086300	-0.583066355939787	5.9540532998192	-7.55491613308438	1.18566466612629e-06	0.00171117759425716	5.67568697643834
ENSG00000113916	0.698822008707344	5.02353918890383	7.42964746375071	1.46379059916533e-06	0.00172847055386896	5.53031804476031
ENSG00000101825	1.3858271280792	2.6414177857947	7.44026765228932	1.43775633619684e-06	0.00172847055386896	5.47672409128128
ENSG00000113645	0.559318728432079	4.60639077357502	7.2456957673168	2.00219169715955e-06	0.00201797363705438	5.19558412664344
ENSG00000173114	-0.640479607014862	6.25555151269637	-7.06241011543115	2.74787550431081e-06	0.00254943963753522	4.92612827561578
ENSG00000156860	0.875682317504896	5.1992017283779	6.96751962433841	3.24304321199039e-06	0.00280825921870288	4.76031315545151
ENSG00000061273	0.838159111398495	3.79963728553927	6.90285822985743	3.63320235939142e-06	0.00292932404006057	4.59809613746992
ENSG00000100228	0.578424403026591	4.2260187538127	6.87236643262935	3.83389858195624e-06	0.00292932404006057	4.5631378772666
ENSG00000132872	-0.642129269795867	9.49082061058697	-6.74964529199505	4.76627196770301e-06	0.00325837403097339	4.40188189514389
ENSG00000198467	1.39574343064672	1.98850779028214	7.24062498521854	2.01968259925375e-06	0.00201797363705438	4.34650544383843
ENSG00000164951	-0.408945836925588	6.65675903550824	-6.62731168662963	5.93346325172735e-06	0.00385348770883433	4.20443732065325
ENSG00000004848	0.937483625274726	5.90107540636273	6.53221530168238	7.04486167535335e-06	0.00393151986337994	4.03483955670987
ENSG00000139219	1.13413005817653	2.86010931172294	6.51603034527778	7.25465183638504e-06	0.00393151986337994	3.9753967644951
ENSG00000183853	0.501732239725585	5.17260627743302	6.45557732001925	8.09758539638483e-06	0.00393151986337994	3.90668923062333
ENSG00000177359	-0.940539537193632	3.68135583605199	-6.797247126162	4.37928064203769e-06	0.0031601375699682	3.90119681996033
ENSG00000013573	0.621628311669291	3.77205709038064	6.4902244526036	7.60271165327657e-06	0.00393151986337994	3.89557335677381
ENSG00000124181	0.643048077479804	6.45463283356961	6.44783562287932	8.21267767451357e-06	0.00393151986337994	3.88906465400546
ENSG00000197756	-0.389916994248478	9.36130409099441	-6.43579924534504	8.39501132095575e-06	0.00393151986337994	3.84926035570955
ENSG00000205560	0.561602189813237	3.50298695630815	6.41759380127389	8.67884608940581e-06	0.00393151986337994	3.78344996303394
