logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000234475	10.0120165503736	1.97716286649108	9.56979318613898	2.07902540958745e-12	2.22683916298635e-08	17.7911631468962
ENSG00000244731	2.93877522113581	3.96163950798987	9.499242017157	2.60266381835711e-12	2.22683916298635e-08	17.7375708475709
ENSG00000151929	2.56719828891093	5.70219582867	9.24349437812083	5.90493893004114e-12	3.16664730530095e-08	16.8938803584071
ENSG00000188488	1.29333531165135	1.58577611186239	9.17336496723386	7.40216761407423e-12	3.16664730530095e-08	16.7296376708823
ENSG00000224552	2.53053005804645	1.56968216425944	8.98419912608747	1.36553591006051e-11	4.67341009859111e-08	16.1612129613639
ENSG00000165030	1.0135237794	3.34325818907328	8.22518140948396	1.65625103538035e-10	4.72362795290475e-07	13.8383034113911
ENSG00000110077	1.43357425414071	3.37604173465179	8.1543632584088	2.09657927867052e-10	5.12523780237284e-07	13.611035319437
ENSG00000100292	1.76404511492963	3.44809467117609	8.05879395777079	2.88397329146152e-10	5.8113677099137e-07	13.3049298938216
ENSG00000179344	1.95380416414578	2.66167635686691	8.03658204955942	3.10617754651247e-10	5.8113677099137e-07	13.2241130228299
ENSG00000197265	0.360319911695361	3.24306409277108	7.97683699677981	3.79334826705645e-10	5.8113677099137e-07	13.0455179247962
ENSG00000196136	3.15201885280655	5.71989637904297	7.99514762980608	3.56785624194494e-10	5.8113677099137e-07	13.0127825590521
ENSG00000110172	1.20323115397124	5.68768808300007	7.94592250897808	4.20713255781122e-10	5.8113677099137e-07	12.9134515361769
ENSG00000109332	0.392412610427856	6.76188806758942	7.93153701300695	4.41490066788675e-10	5.8113677099137e-07	12.7870823215845
ENSG00000119541	-0.65901952117013	4.40598014409132	-7.84063824421961	5.98925489498972e-10	7.32058069736172e-07	12.6166212347642
ENSG00000077312	0.409146192606444	4.06209250225175	7.68721637252384	1.00361662005714e-09	1.07585602721328e-06	12.1228484720409
ENSG00000099377	0.805562276353859	2.66257835645137	7.67320480079417	1.0521584589199e-09	1.07585602721328e-06	12.0594270958901
ENSG00000121931	0.695409447850531	3.49103725820429	7.64611838784126	1.15279971487772e-09	1.07585602721328e-06	11.985596204415
ENSG00000104312	0.476344030321987	2.99432214493557	7.63557203196618	1.19455729996799e-09	1.07585602721328e-06	11.9442792814747
ENSG00000141574	1.26407281533324	1.22930007366291	7.63985783820513	1.17740740411065e-09	1.07585602721328e-06	11.9301459078898
ENSG00000173926	1.05331925956476	2.74742558446723	7.58294102169753	1.42684160494787e-09	1.2208056771934e-06	11.7707920288873
ENSG00000134531	1.35030596113625	4.52109594642703	7.55963485818975	1.54374066674757e-09	1.25025276013827e-06	11.7036933374074
ENSG00000157734	-1.32403249380882	4.46150782026162	-7.5345335547369	1.68044725825036e-09	1.25025276013827e-06	11.6233521901103
ENSG00000132002	2.38746905178866	7.16705357930391	7.53719658621659	1.66538440608297e-09	1.25025276013827e-06	11.4713972477695
ENSG00000228408	1.6256080165995	3.95804849749482	7.45231399262731	2.21949912400865e-09	1.58250287541816e-06	11.3542749707725
ENSG00000158714	1.01987934808617	1.72806046243225	7.35016146286564	3.13786168579798e-09	2.147803566695e-06	11.005461850227
ENSG00000065911	1.17416622283477	3.2783587887459	7.33720949077147	3.27883515970375e-09	2.15797797126348e-06	10.9813660214387
ENSG00000099958	0.542228415783505	1.06147657307081	7.22379264770585	4.81971230794252e-09	2.84396265563836e-06	10.5906536293217
ENSG00000274437	0.542228415783505	1.06147657307081	7.22379264770585	4.81971230794252e-09	2.84396265563836e-06	10.5906536293217
ENSG00000106211	2.12109645350439	7.80052426843922	7.25247095232279	4.37209187088771e-09	2.7709346701715e-06	10.499924704822
ENSG00000164761	1.39644128442212	1.58251185392987	7.14632300037242	6.27283091751119e-09	3.46260266646618e-06	10.3459352513947
ENSG00000161011	0.568999513994707	7.36009900944283	7.12292472460547	6.79287273157552e-09	3.63248869321001e-06	10.1742961683875
ENSG00000232804	3.91545988408957	7.62217739070123	7.14954867983715	6.2043444488414e-09	3.46260266646618e-06	10.1574452932402
ENSG00000110958	0.637654480382035	7.15298908167977	7.08520627595034	7.7238858047711e-09	4.00518587549221e-06	10.0742653001775
ENSG00000188483	1.147303405663	3.97011896810195	7.03528154042137	9.15612275131012e-09	4.47655921486911e-06	9.99904009438721
ENSG00000168439	1.04354821966765	6.55150956226716	7.04650800922098	8.81242336809277e-09	4.43524084337657e-06	9.98987122507989
ENSG00000277594	0.938570323779492	2.83327501021596	6.96158821003707	1.17716876142941e-08	5.48968266784804e-06	9.75526218566226
ENSG00000196470	0.437211675145113	3.71894678857402	6.95403245493746	1.20790435279162e-08	5.48968266784804e-06	9.73327397984187
ENSG00000204427	1.14491794945123	1.78942098837371	6.95133430168604	1.21907399122385e-08	5.48968266784804e-06	9.71469549943388
ENSG00000197430	-2.0011370154159	5.60219322548816	-6.94291718835885	1.25458874631317e-08	5.50474939151564e-06	9.68638036311513
ENSG00000248592	-0.669065432517189	3.0610186442546	-6.89135292868691	1.49597874522843e-08	6.39979707208721e-06	9.52676479045101
ENSG00000163644	0.608764931300229	6.9839038794436	6.854703695441	1.69537812175258e-08	7.07592937059273e-06	9.35151078506266
ENSG00000135046	1.351736645919	4.31482981321593	6.81335375896779	1.9525337533247e-08	7.9551803778315e-06	9.27213064736751
ENSG00000175197	0.664452193819218	4.08207688543252	6.80058258768579	2.03960227269633e-08	8.11666839311155e-06	9.22998214732703
ENSG00000162616	0.902682505464689	4.90059864636471	6.77817726654236	2.20186085594543e-08	8.5632370379405e-06	9.15692894372636
ENSG00000149781	1.28470155563186	2.57706062029571	6.76701583978688	2.28745700540376e-08	8.69843650588203e-06	9.11913475353213
ENSG00000100068	0.484478632416489	2.3642772587537	6.71950701130508	2.69071814684227e-08	1.00094715062533e-05	8.96278143759292
ENSG00000100219	0.795251628768697	4.35414499787224	6.69396878371593	2.93617715340003e-08	1.06901837125492e-05	8.88005865986336
