baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	1397.50270307864	-0.232236752178095	0.142727454406351	-1.62713440903183	0.103708554484793	0.195624515568251
ENSG00000000419	923.395557152662	-0.304887736613964	0.123720652777827	-2.46432369833573	0.0137272077032453	0.0445756752143634
ENSG00000000457	706.731820716104	-0.222220048290882	0.114834842753434	-1.93512737913543	0.0529746664843952	0.119025764221728
ENSG00000000460	222.44837583502	-0.0821480060735065	0.182594800942462	-0.449892360842149	0.652788056092675	0.75402970747779
ENSG00000001036	1206.97716953472	-0.0751785408599273	0.129244432202309	-0.581677210993883	0.560784124461032	0.676912112458575
ENSG00000001084	787.822563728598	-0.0583129187202474	0.121488479166914	-0.479987231053662	0.631236472611826	0.736140289347729
ENSG00000001167	1194.519930578	-0.0722606580509074	0.095036256739091	-0.76034831895041	0.447046406589979	0.5780672747832
ENSG00000001460	1349.41962824139	-0.0259440857651399	0.086482740230889	-0.299991486114745	0.764183649814585	0.838909856950781
ENSG00000001461	3041.19234851022	-0.045079613554513	0.106194667170863	-0.424499786622822	0.671201360906366	0.769864451492309
ENSG00000001497	1205.61821791955	0.331736290276136	0.106954703317542	3.10165219467939	0.00192443918659661	0.0116751707588526
ENSG00000001561	1356.65108542814	-0.427587695912492	0.122353700333784	-3.49468544675006	0.000474620758123676	0.00470815701125407
ENSG00000001617	1058.6335159231	0.679586043378525	0.22013866685231	3.08708167036578	0.0020213205359475	0.0120546062632792
ENSG00000001629	3909.99971644998	-0.138487318738848	0.0766366528379578	-1.80706376923414	0.0707523369108374	0.14706386688028
ENSG00000001630	11323.3785201756	-0.401944775778154	0.119757674728774	-3.35631746932692	0.000789878413725756	0.00662935160920841
ENSG00000001631	927.437750464168	-0.012186883492201	0.121373335384596	-0.100408244146743	0.920020224962511	0.948147349267031
ENSG00000002016	345.072736283955	0.352055620430617	0.141056245578235	2.49585276417522	0.0125654745324662	0.0418280237576125
ENSG00000002330	852.413606319588	0.843553148389807	0.322025127933527	2.61952585440455	0.00880520978217684	0.0324272384067749
ENSG00000002549	576.392775003733	0.041462425641385	0.184516446585043	0.224708563430281	0.822206002317268	0.879625598613437
ENSG00000002586	1411.20865661256	0.156304334122361	0.150283975881991	1.04005988133491	0.298312081018767	0.427679428295008
ENSG00000002587	148.409749916371	0.733387189758894	0.412174121854421	1.77931401044611	0.0751882952570629	0.1537743295692
ENSG00000002746	2642.92359382124	0.230313517363381	0.0804185085692438	2.86393669145296	0.00418411628162986	0.019556514519552
ENSG00000002822	620.447940854397	0.6258462358467	0.206582730672518	3.02951865245122	0.00244943778090774	0.0138149141711727
ENSG00000002834	11099.4431862788	0.077984701686891	0.0901616176171831	0.864943462061716	0.387069821207643	0.519117181999595
ENSG00000002919	794.58454693794	-0.156406245609376	0.110527076566003	-1.41509438654135	0.15704082384623	0.267690716658619
ENSG00000003056	1925.34822861348	-0.0173280542017537	0.136790941254756	-0.126675451187096	0.899197276401885	0.933253969091816
ENSG00000003096	2947.77878316399	-0.425016558407386	0.114957625148049	-3.69715847783064	0.000218026243573686	0.00294380756525843
ENSG00000003147	1255.45415512659	-0.157289438233287	0.0887099266007737	-1.7730759595952	0.0762161209556603	0.155435891834365
ENSG00000003249	1871.16376972513	0.579064584626677	0.20465602737975	2.82945287290363	0.00466276666459151	0.0211690584433342
ENSG00000003393	3324.80447394707	-0.048232967588096	0.0787027609415787	-0.612849752804726	0.539975690032755	0.659808737562736
ENSG00000003402	1429.44326386507	0.0244117636954526	0.113950397933718	0.214231491404288	0.830366539520286	0.885956216677263
ENSG00000003436	288.926576838376	0.183956804373436	0.166328825170056	1.10598270735909	0.268734004226376	0.396072390888052
ENSG00000003509	851.713042313521	-0.242329206831511	0.0959086537944895	-2.52666675262451	0.0115150708668405	0.0392158509411094
ENSG00000003756	7645.35394560392	-0.0181967800195691	0.0954972922929885	-0.190547601744988	0.848880045607136	0.898687668912963
ENSG00000003987	1822.45200053469	-0.209637058117216	0.0766166326960857	-2.73618208919179	0.00621566213058508	0.0257241195702626
ENSG00000004059	4384.42209555266	0.00247878826618598	0.0919358778985162	0.0269621427765361	0.978489928734002	0.986281107743235
ENSG00000004139	4477.52533868405	0.349366973892155	0.0972352421293597	3.59300770215972	0.000326882921860108	0.00379435413051022
ENSG00000004142	2889.94329001819	0.0495037882148861	0.069250319311242	0.714852851326128	0.474699973482712	0.601842650616589
ENSG00000004399	579.584994159324	0.468898209364426	0.198520186565764	2.36196740228779	0.0181782405458124	0.0539326556531651
ENSG00000004455	1557.07328529173	-0.054941429884604	0.0863046555221628	-0.636598681174217	0.524386284465904	0.645800080489962
ENSG00000004478	6878.68725974018	-0.156866485508394	0.0689508998590577	-2.27504624057183	0.0229031560796108	0.0637841111316605
ENSG00000004487	9248.54705526176	-0.0907830815037362	0.052014616869637	-1.74533788706478	0.080926070657334	0.162748932362435
ENSG00000004534	3405.35430224644	0.06536825211855	0.116853279384734	0.559404515326679	0.575885680485522	0.689226859285584
