name	type	db	id (predicted)	label (predicted)	prediction correct	comment (predicted id)	uri (manual)	comment (uri manual)	
filamentous actin	Complex	go	GO:0031941	filamentous actin	y				
ephrin receptor	Receptor	UniProt	P29317	Ephrin type-A receptor 2	n	too specific	interpro:IPR050449		
filamentous actin	Complex	go	GO:0005884	actin filament	y				
Ca2+	Ion	CheBI	29108	calcium(2+) ion	n	output is not well formatted	Chebi:29108		
DVL	GenericProtein	UniProt	P54792	Segment polarity protein dishevelled homolog DVL-1	y				
Voltage-gated potassium channel	Complex	go	GO:0008076	voltage-gated potassium channel complex	y				
Voltage-dependent calcium channel, T-type	Complex	go	GO:0005891	voltage-gated calcium channel complex	n	too general	mesh:D020747		
L-glutamate	SimpleMolecule	chebi	CHEBI:29985	L-glutamate	y				
TNF	GenericProtein	uniprot	P01375	Tumor necrosis factor	y				
dopamine	SimpleMolecule	chebi	CHEBI:18243	dopamine	y				
Ca2+	Ion	chebi	CHEBI:39124	calcium ion	n	too general	Chebi:29108		
GDNF	GenericProtein	UniProt	P39905	Glial cell line-derived neurotrophic factor	y				
NMDAR:ligand complex	Complex	go	GO:0017146	NMDA receptor complex	n	part only	GO:0017146		
NR1 : NR2	Complex	go	GO:0017146	NMDA selective glutamate receptor complex	y				
rapid-onset dystonia parkinsonism	Phenotype	mondo	MONDO:0007496	dystonia 12	y				
K+	Ion	Chebi	CHEBI:29103	potassium(1+)	y				
Ca2+	Ion	CHEBI	CHEBI:39124	calcium ion	n	too general	Chebi:29108		
Na+	Ion	chebi	CHEBI:29101	sodium(1+)	y				
DRD2	Receptor	uniprot	P14416	Dopamine D2 receptor	y				
26S proteasome	Complex	go	GO:0000502	proteasome complex	n	too general	mesh:C061553		
neurogliafrom cell NR2F2+ RELN+ ACTN2+ GABRA1+	Complex	GO	GO:1902711	GABA-A receptor complex	n	not possible;typo: “neurogliafrom”→”neurogliaform”	CL:0000693;uniprot:P24468;uniprot:P78509;uniprot:P35609;uniprot:P14867		
