collection;map;entity_id;entity_name;additional_annotations;from;comments;Suggestion
PD_DM_CD;SRR_signaling;s_id_sr199;mortor activity;mesh:D009043;new;typo: mortor->motor;ok
PD_DM_CD;Iron_metabolism;s_id_ir1b7;non-vesicular iron import;GO:0033212;new;too general;GO:0098711
PD_DM_CD;Suggestions_for_curation;s_id_scf6;energy metabolism production;GO:0006112;new;to check;skip
PD_DM_CD;Suggestions_for_curation;s_id_scbb;DA3-CH;;new;"can't find; maybe CHEBI:194186";skip
PD_DM_CD;Suggestions_for_curation;s_id_scbc;D-Ala2-GIP-glu-PAL;;new;can't find;skip
PD_DM_CD;Suggestions_for_curation;s_id_scf8;protein oxidative damage;GO:0034599;new;too general;skip
PD_DM_CD;PD_map_overview;s_id_csa11;apoptotoc neuron;GO:0051402;new;typo: apoptotoc->apoptotic;ok
PD_DM_CD;PD_map_overview;s_id_sa3552;Signalling in striatal neurons;GO:0023052, bto:BTO:0004225;new;can't find term outside of BTO;mesh:D009473+mesh:D000094242
PD_DM_CD;PD_map_overview;s_id_pdmab0;Inflammation signaling;GO:0006954;new;"too general;to check";ok
PD_DM_CD;PD_map_overview;s_id_sa3563;Endoplasmic Reticulum activity;GO:0003674, GO:0005783;new;to check (not sure how much molecule function term can be applied to a cc);GO:0010256
PD_DM_CD;PD_map_overview;s_id_pdm869;SHH signaling;GO:0023052;new;"urn:miriam:obo.go:GO%3A0023052; uniprot:Q15465";GO:0007224
PD_DM_CD;PD_map_overview;s_id_sa3564;TFEB activity;uniprot:P19484;new;"related;to check";ok
PD_DM_CD;PD_map_overview;s_id_pdm1345;Suggestions for curation;;new;"not relevant; to check";skip
PD_DM_CD;PD_map_overview;s_id_pdm1341;Mitochondrial and ROS metabolism;GO:0045333, GO:0072593;new;to check;ok
PD_DM_CD;PD_map_overview;s_id_csa10;apoptotoc neuron;GO:0051402;new;typo: apoptotoc->apoptotic;ok
PD_DM_CD;PD_map_overview;s_id_pdmbc7;Iron metabolism;GO:0006879;new;to check;ok
PD_DM_CD;Dopaminergic_transcription;s_id_pdm1211;pacemaking activity;;new;can't find;mesh:D063226
PD_DM_CD;NR2F1_signaling;s_id_csa67;CGE-derived Pax6+ cell;CL:0000000, ncit:C73851, mesh:D000097803, uniprot:P26367;new;homogenize: CGE-derived cell PAX6+;ok
PD_DM_CD;NR2F1_signaling;s_id_nr183;enhancer 636;;new;can't find;ncbigene:110120723
PD_DM_CD;NR2F1_signaling;s_id_nr181;enhancer 840;;new;can't find;ncbigene:110120783
PD_DM_CD;NR2F1_signaling;s_id_csa48;POa-derived cell NR2F2+ NRP2+;CL:0000000, mesh:D011301, uniprot:P24468, uniprot:O60462;new;typo: leading space;ok
PD_DM_CD;NR2F1_signaling;s_id_nr14d;enhancer 643;;new;can't find;ncbigene:110121062
PD_DM_CD;NR2F1_signaling;s_id_csa49;POa-derived cell NR2F2- NRP2-;CL:0000000, mesh:D011301, uniprot:P24468, uniprot:O60462;new;typo: leading space;CL:0000000+mesh:D011301+uniprot.isoform:P24468-0+uniprot.isoform:O60462-0
PD_DM_CD;NR2F1_signaling;s_id_nr16f;enhancer 1329;;new;can't find;ncbigene:110121062
PD_DM_CD;NR2F1_signaling;s_id_nr173;enhancer 643;;new;can't find;ncbigene:110121062
PD_DM_CD;NR2F1_signaling;s_id_nr184;enhancer 840;;new;can't find;ncbigene:110120783
PD_DM_CD;NR2F1_signaling;s_id_csa73;interneuron-selective cell NR2F2+ VIP+ CALB2+ PENK+;uniprot:P24468, uniprot:P01275, uniprot:P22676, uniprot:P01210;new;"can't find; previously annotated with pubmed";CL:0000099+uniprot:P24468+uniprot:P01275+uniprot:P22676+uniprot:P01210
PD_DM_CD;NR2F1_signaling;s_id_nr180;enhancer 636;;new;can't find;ncbigene:110120723
PD_DM_CD;NR2F1_signaling;s_id_nr105;astrocyte production;GO:0048708;new;to check;ok
PD_DM_CD;NR2F1_signaling;s_id_csa39;basket cell (P57b) NR2F2+;;new;typo: P57b→P75b;skip
PD_DM_CD;NR2F1_signaling;s_id_nr16b;enhancer 1329;;new;can't find;ncbigene:110121062
PD_DM_CD;Mitochondrial_fission_and_fusion;s_id_path_0_csa2055;fission constriction site;GO:0048285;new;"To check;not exact";GO:0090692
PD_DM_CD;Mitochondrial_fission_and_fusion;s_id_path_0_csa2052;outer membrane fusion;GO:0019064;new;to check;GO:1990626
PD_DM_CD;Mitochondrial_biogenesis;s_id_path_0_csa1886;OXPHOS subunits encoded in mtDNA;Hgnc.group:1974, GO:0006119;new;"to check; homegenize: mtDNA encoded OXPHOS units";ok
COVID_DM_CD;JNK_pathway;s_id_sa50;6;;new;don't know where it comes from;NCBI_Gene:43740572
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa76;V1;GO:0033176;new;either too precise or not precise enough;GO:0033180
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa60;V1;GO:0033176;new;either too precise or not precise enough;GO:0033180
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa62;V1;GO:0033176;new;either too precise or not precise enough;GO:0033180
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa74;V1;GO:0033176;new;either too precise or not precise enough;GO:0033180
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa77;V0;GO:0033176;new;either too precise or not precise enough;GO:0033179
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa61;V0;GO:0033176;new;either too precise or not precise enough;GO:0033179
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa75;V0;GO:0033176;new;either too precise or not precise enough;GO:0033179
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa63;V0;GO:0033176;new;either too precise or not precise enough;GO:0033179
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa84;P1;GO:0140358;new;either too precise or not precise enough;mesh:D000073779
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_sa3;Nsp4 (+);Ncbiprotein:YP_009725300, SO:0001201;new;"Can't find gene;can't find term for positive strand outside of SO";PR:000050273+GO:0039690
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_sa219;Nsp3 (-);Ncbiprotein:YP_009725299, SO:0001200;new;"can't find term for negative strand outside of SO; can't find term for gene";PR:000050272+GO:0039689
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_sa47;Nsp6 (+);Ncbiprotein:YP_009725302, SO:0001201;new;"can't find term for positive strand outside of SO; can't find term for gene";PR:000050275+GO:0039690
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_sa220;Nsp4 (-);Ncbiprotein:YP_009725300, SO:0001200;new;"Can't find gene;can't find term for negative strand outside of SO";PR:000050273+GO:0039689
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa70;P0;GO:0140358;new;either too precise or not precise enough;mesh:D000073779
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa73;P0;GO:0140358;new;either too precise or not precise enough;mesh:D000073779
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa82;P0;GO:0140358;new;either too precise or not precise enough;mesh:D000073779
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa72;P1;GO:0140358;new;either too precise or not precise enough;mesh:D000073779
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa81;P1;GO:0140358;new;either too precise or not precise enough;mesh:D000073779
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa71;P1;GO:0140358;new;either too precise or not precise enough;mesh:D000073779
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_csa83;P0;GO:0140358;new;either too precise or not precise enough;mesh:D000073779
COVID_DM_CD;Nsp4_and_Nsp6_protein_interactions;s_id_sa218;Nsp6 (-);Ncbiprotein:YP_009742613, SO:0001200;new;"Can't find gene;can't find term for negative strand outside of SO";PR:000050275+GO:0039689
