label	type	databases	identifiers	comment	
neuron NR5A1+ NR2F2-	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:0000540; uniprot:Q13285; uniprot:P24468		
Ubiquitin proteasome system	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	GO:0000502		
'kiss and run' vesicle contact	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	GO:0036465	to check; too general	
Viral dsRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	Mesh:D012367;Mesh:D012330		
angiotensin 3-7	SimpleMolecule	obo.chebi;pubchem.compound;mesh;ncit		can’t find	
structural proteins	Protein	uniprot;pr;interpro;mesh;ncbiprotein	Mesh:D015678	to check if viral	
PRDX	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	mesh:D054464	to check	
POa-derived GABAergic interneuron GAD1+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:0011005; mesh:D011301; uniprot:Q99259		
double-stranded RNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	Mesh:D012330		
fission constriction site	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	GO:0048285	To check;not exact	
POa-derived cell NR2F2+ NRP2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:0000000; mesh:D011301; uniprot:P24468; uniprot:O60462		
angiotensin 1-4	SimpleMolecule	obo.chebi;pubchem.compound;mesh;ncit		can’t find	
RADI cell (P80a) NR2F2+ TAC3+ CALB1+ CNR1+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:0000099;mesh:D056547;mesh:D018891		
ssRNAoligo	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	SO:0001199;mesh:D009841		
pyramidal cell NR2F2+ CCK+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:0000598; uniprot:P24468; uniprot:P06307		
Orf9b ds sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	uniprot:P0DTD2;Mesh:D012330	to check; can’t find exact gene orf9b (part of N); can’t find subgenomic RNA	
SNCA expression	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	GO:0010467;hgnc:SNCA		
mt DNA	Gene	hgnc.symbol;mgi;rgd;ncbigene	mesh:D004272	to check	
CGE-derived cell PAX6+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:0000000;ncit:C73851;mesh:D000097803;uniprot:P26367		
Orf7b ds sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	Ncbigene:43740574;Mesh:D012330	can’t find subgenomic RNA	
neural precursor cell NR2F2+ SP8+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:4042021; uniprot:P24468; uniprot:Q8IXZ3		
Ryanodine receptor	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	mesh:D019837		
Dopaminergic synapse	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	GO:0098691		
TOMM37	Protein	uniprot;pr;interpro;mesh;ncbiprotein	uniprot:Q9P0U1	to check; typo?	
generic peptide	Protein	uniprot;pr;interpro;mesh;ncbiprotein	CHEBI:16670		
Several drugs	Drug	drugbank;obo.chebi;pubchem.compound;mesh;ncit	CHEBI:23888		
Dopamine metabolism	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	GO:0042417		
I3PROPA	Protein	uniprot;pr;interpro;mesh;ncbiprotein		can’t find	
protein oxidative damage	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	GO:0034599	too general	
Orf3a ds sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	Ncbigene:43740569;Mesh:D012330	can’t find subgenomic RNA	
amphiphilic macromolecules	Drug	drugbank;obo.chebi;pubchem.compound;mesh;ncit	CHEBI:33839;Mesh:D013501		
GABAergic interneuron HTR3A+ NR2F1+ NR2F2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:0011005; uniprot:P46098; uniprot:P10589; uniprot:P24468		
generic protein	Protein	uniprot;pr;interpro;mesh;ncbiprotein	Mesh:D011506		
transcription of proinflammatory proteins	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	GO:0009299;GO:0006954	too check; not exact; could replace inflammatory response by cytokines, chemokines, etc.	
Orf8 (+)ss sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	Ncbigene:43740577;SO:0001201	can’t find term for positive strand outside of SO	
Orf6 ds sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	Ncbigene:43740572;Mesh:D012330	can’t find subgenomic RNA	
RNA Polymerase II-dependent Transcription 	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	GO:0006366		
pacemaking activity	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim		can’t find	
RAGs	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein		can’t find	
Orf9b (+)ss sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	uniprot:P0DTD2;SO:0001201	to check; can’t find exact gene orf9b (part of N); can’t find subgenomic RNA;can’t find term for positive strand outside of SO	
GABAergic interneuron HTR3A+ NR2F2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:0011005; uniprot:P46098; uniprot:P24468		
(-)gRNA (including ORF1a ORF1b)	Gene	hgnc.symbol;mgi;rgd;ncbigene	Ncbigene:43740578;SO:0001200	can’t find term for positive strand outside of SO;can’t find subgenomic RNA	
Nsp4 (+)	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	Ncbiprotein:YP_009725300;SO:0001201	Can’t find gene;can’t find term for positive strand outside of SO	
NR2F1 signaling	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	GO:0023052;uniprot:P10589		
MTOR AMPK signaling	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	GO:0031929		
Axonal remodeling and CDK5 signaling	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	Mesh:D009473;GO:0023052;uniprot:Q00535		
enhancer 643	Gene	hgnc.symbol;mgi;rgd;ncbigene		can’t find	
Endoplasmic Reticulum activity	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim	GO:0003674;GO:0005783	to check (not sure how much molecule function term can be applied to a cc)	
Nsp4 (-)	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	Ncbiprotein:YP_009725300;SO:0001200	Can’t find gene;can’t find term for negative strand outside of SO	
Orf14 ds sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	Uniprot:P0DTD3;Mesh:D012330	Can’t find gene;can’t find subgenomic RNA	
 POa-derived cell NR2F2- NRP2-	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:0000000; mesh:D011301; uniprot:P24468; uniprot:O60462	typo: leading space	
Suggestions for curation	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim		not relevant; to check	
P33b neurogliaform cell NR2F2+ NOS1+ NPY+ ACTN2+ GAD2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:0000103; uniprot:P24468; uniprot:P29475; uniprot:P01303; uniprot:P35609; uniprot:Q05329		
neural precursor cell NR2F2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein	CL:4042021; uniprot:P24468		
Nsp6 (-)	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq	Ncbiprotein:YP_009742613;SO:0001200	Can’t find gene;can’t find term for negative strand outside of SO	
