neuron NR5A1+ NR2F2-	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
Ubiquitin proteasome system	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
'kiss and run' vesicle contact	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
Viral dsRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
angiotensin 3-7	SimpleMolecule	obo.chebi;pubchem.compound;mesh;ncit
structural proteins	Protein	uniprot;pr;interpro;mesh;ncbiprotein
PRDX	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
POa-derived GABAergic interneuron GAD1+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
double-stranded RNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
fission constriction site	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
POa-derived cell NR2F2+ NRP2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
angiotensin 1-4	SimpleMolecule	obo.chebi;pubchem.compound;mesh;ncit
RADI cell (P80a) NR2F2+ TAC3+ CALB1+ CNR1+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
ssRNAoligo	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
pyramidal cell NR2F2+ CCK+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
Orf9b ds sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
SNCA expression	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
mt DNA	Gene	hgnc.symbol;mgi;rgd;ncbigene
CGE-derived cell PAX6+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
Orf7b ds sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
neural precursor cell NR2F2+ SP8+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
Ryanodine receptor	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
Dopaminergic synapse	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
TOMM37	Protein	uniprot;pr;interpro;mesh;ncbiprotein
generic peptide	Protein	uniprot;pr;interpro;mesh;ncbiprotein
Several drugs	Drug	drugbank;obo.chebi;pubchem.compound;mesh;ncit
Dopamine metabolism	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
I3PROPA	Protein	uniprot;pr;interpro;mesh;ncbiprotein
protein oxidative damage	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
Orf3a ds sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
amphiphilic macromolecules	Drug	drugbank;obo.chebi;pubchem.compound;mesh;ncit
GABAergic interneuron HTR3A+ NR2F1+ NR2F2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
generic protein	Protein	uniprot;pr;interpro;mesh;ncbiprotein
transcription of proinflammatory proteins	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
Orf8 (+)ss sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
Orf6 ds sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
RNA Polymerase II-dependent Transcription 	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
pacemaking activity	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
RAGs	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
Orf9b (+)ss sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
GABAergic interneuron HTR3A+ NR2F2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
(-)gRNA (including ORF1a ORF1b)	Gene	hgnc.symbol;mgi;rgd;ncbigene
Nsp4 (+)	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
NR2F1 signaling	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
MTOR AMPK signaling	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
Axonal remodeling and CDK5 signaling	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
enhancer 643	Gene	hgnc.symbol;mgi;rgd;ncbigene
Endoplasmic Reticulum activity	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
Nsp4 (-)	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
Orf14 ds sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
 POa-derived cell NR2F2- NRP2-	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
Suggestions for curation	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
P33b neurogliaform cell NR2F2+ NOS1+ NPY+ ACTN2+ GAD2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
neural precursor cell NR2F2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
Nsp6 (-)	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
non-vesicular iron import	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
Unfolded protein	Protein	uniprot;pr;interpro;mesh;ncbiprotein
GABAergic interneuron NR2F2+ CCK+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
L-type calcium channel
Cav1.3 and Cav1.2	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
cyclic nucleotide phosphodiesterase	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
